Date,Headline,Sentiment,Stock Symbol,Open,High,Low,Close,Volume,Dividends,Stock Splits,Price Increase
2024-09-20,"Onconetix, Inc. Announces 1-for-40 Reverse Stock Split and Results of the Annual Meeting of Stockholders",0.0,ONCO,4.639999866,4.639999866,3.200000048,3.279999971,133798,0,0.0,1
2024-07-15,Onconetix Announces Closing of Warrant Exercise for $1.11 Million Gross Proceeds,-0.4767,ONCO,6.360000134,6.360000134,5.800000191,5.880000114,15883,0,0.0,1
2024-07-11,Onconetix Announces Exercise of Warrants for $1.11 Million Gross Proceeds,-0.4767,ONCO,5.840000153,6.0,5.639999866,5.760000229,30608,0,0.0,0
2024-05-30,Today's Biggest Pre-Market Stock Movers: 10 Top Gainers and Losers on Thursday,-0.3818,ONCO,11.23999977,12.80000019,9.359999657,9.520000458,399008,0,0.0,1
2024-05-21,ONCO Stock Earnings: Onconetix Reported Results for Q1 2024,0.0,ONCO,6.239999771,6.239999771,5.199999809,5.360000134,32710,0,0.0,1
2024-02-13,Onconetix Announces Appointment of Seasoned Biotech Executives Dr. Ajit Singh and Dr. Thomas Meier to Its Board of Directors,0.0,ONCO,6.440000057,6.920000076,6.440000057,6.880000114,20045,0,0.0,1
2023-12-19,Onconetix  Chief Executive Officer Dr. Neil J. Campbell Issues Letter to Shareholders,0.0,ONCO,9.199999809,9.199999809,8.0,8.0,14448,0,0.0,1
2023-12-18,Blue Water Biotech Acquires Proteomedix as Part of Transformation to Commercial Stage Oncology Company; Announces Name Change to Onconetix,0.0,ONCO,8.760000229,9.600000381,8.0,9.56000042,48773,0,0.0,1
2023-11-02,Blue Water Biotech Signs Non-Binding Term Sheet to Acquire a Commercial Stage Oncology Company,0.0,ONCO,15.60000038,16.84000015,15.11999989,15.92000008,24055,0,0.0,0
2023-11-01,Blue Water Biotech Announces It Has Regained Compliance with Nasdaq Listing Rule 5250(c)(1),0.0,ONCO,14.52000046,15.60000038,14.0,15.0,1428,0,0.0,1
2023-10-30,Blue Water Biotech Issues Letter to Shareholders,0.0,ONCO,13.0,14.80000019,12.92000008,13.19999981,1285,0,0.0,0
2023-10-10,Blue Water Biotech Appoints Dr. Neil J. Campbell as President and CEO and Bruce Harmon as CFO,0.0,ONCO,17.20000076,18.63999939,16.39999962,17.20000076,1543,0,0.0,1
2023-08-28,"Blue Water Biotech, Inc. Announces Notification From Nasdaq Related to Delayed Quarterly Report on Form 10-Q",-0.2263,ONCO,34.79999924,36.0,34.0,35.75999832,1483,0,0.0,1
2023-08-10,Blue Water Biotech and Copay Consultants Collaborate to Build Copay Assistance Programs for Blue Waters Commercial Products,0.0,ONCO,38.36000061,39.20000076,37.59999847,38.0,995,0,0.0,1
2023-08-03,Blue Water Biotech Announces Closing of Warrant Exercise and Issuance of New Warrants in A Private Placement For $2.7 Million Gross Proceeds,-0.4767,ONCO,41.59999847,43.52000046,41.20000076,42.0,1070,0,0.0,1
2023-08-01,Blue Water Biotech Announces Exercise of Warrants and Issuance of New Warrants in A Private Placement For $2.7 Million Gross Proceeds,-0.4767,ONCO,45.0,45.20000076,42.0,43.59999847,2328,0,0.0,1
2023-07-31,Blue Water Biotech and Knipper Health Join Forces to Distribute Samples for ENTADFI® and ZONTIVITY® to Physicians,0.296,ONCO,43.59999847,46.0,43.59999847,45.20000076,1980,0,0.0,1
2023-07-25,"Blue Water Biotech Teams with UpScriptHealth to Launch Telemedicine Platform for Benign Prostatic Hyperplasia Asset, ENTADFI®",0.5859,ONCO,45.20000076,45.20000076,42.79999924,43.59999847,3418,0,0.0,1
2023-07-17,Blue Water Biotech Issues CEO Shareholder Letter Providing Update on Commercial Launch Activities,0.0,ONCO,48.0,48.0,45.0,46.0,1783,0,0.0,1
2023-07-11,Blue Water Biotech Teams with Advantage Point Solutions to Provide Healthcare Payer Coverage Support,0.6597,ONCO,45.59999847,48.0,45.59999847,48.0,2755,0,0.0,1
2023-07-06,Blue Water Biotech Secures License from Ohio State Board of Pharmacy to Operate as Pharmaceutical Wholesaler for its FDA Approved Products,0.6249,ONCO,43.59999847,44.79999924,43.20000076,44.40000153,4240,0,0.0,0
2023-06-28,Monkeypox Vaccine: Blue Water Biotech Touts Encouraging Preclinical Data From Monkeypox Vaccine Candidate,0.5106,ONCO,47.20000076,47.59999847,46.0,46.79999924,3890,0,0.0,1
2023-06-21,Blue Water Biotech Collaborates with IQVIA to Build Medical Sales Representative Team to Market Commercial Product Portfolio,0.0,ONCO,49.20000076,51.59999847,47.59999847,50.0,8585,0,0.0,1
2023-06-15,Blue Water (BWV) Up on Acquisition of 6 FDA-Approved Drugs,0.0,ONCO,47.20000076,50.0,44.79999924,48.0,55608,0,0.0,1
2023-06-14,Blue Water Biotech Expands Commercial Portfolio by Acquiring Six FDA-Approved Drugs Across Various Treatment Areas,0.1027,ONCO,60.0,63.20000076,44.40000153,51.20000076,1439845,0,0.0,1
2023-05-12,Blue Water Biotech Reports First Quarter 2023 Financial Results and Recent Business Highlights,0.0,ONCO,41.20000076,43.59999847,40.0,41.59999847,4550,0,0.0,0
2023-05-10,"Blue Water Biotech to Present Corporate Overview and ENTADFI® Launch Plan at the JMP Securities Life Sciences Conference in New York, NY",0.296,ONCO,40.79999924,41.20000076,40.0,41.20000076,2115,0,0.0,1
2023-04-26,"Blue Water Biotech Appoints Board-Certified Urologist Jay Newmark, M.D., MBA as Chief Medical Officer",0.0,ONCO,41.59999847,44.79999924,41.59999847,43.20000076,9888,0,0.0,1
2023-04-25,Blue Water Biotech to Participate in the American Urological Association Annual Meeting 2023 to Promote Benign Prostatic Hyperplasia Treatment ENTADFI®,0.5994,ONCO,43.20000076,43.20000076,41.20000076,41.59999847,1865,0,0.0,1
2023-04-24,Blue Water Vaccines Announces Corporate Name Change to Blue Water Biotech in Connection with Transition into Commercial-Stage Biotechnology Company,0.0,ONCO,42.0,43.59999847,41.20000076,42.40000153,1623,0,0.0,1
2023-04-20,"Blue Water Announces Acquisition of ENTADFI®, an FDA-Approved Benign Prostatic Hyperplasia Asset",0.5859,ONCO,44.0,45.20000076,42.79999924,42.79999924,7260,0,0.0,1
2023-04-12,"Blue Water Vaccines Announces Signing of Sponsored Research Agreement with The University of Texas Health Science Center at San Antonio to Initiate Non-Human Primate Study for Live Attenuated, Orally Delivered Chlamydia Vaccine",0.4939,ONCO,41.59999847,45.20000076,41.59999847,41.59999847,3125,0,0.0,1
2023-03-09,Blue Water Vaccines Reports Year 2022 Financial Results and Recent Business Highlights,0.0,ONCO,46.0,46.40000153,43.0,46.0,6885,0,0.0,0
2023-02-06,Blue Water Vaccines Appoints Seasoned Commercial Operations Leader Frank Jaeger as Senior Vice President of Marketing and Business Development,0.0,ONCO,49.20000076,51.20000076,49.20000076,50.40000153,2925,0,0.0,1
2023-02-01,Blue Water Vaccines Announces Partnership with AbVacc for Joint Development of Novel Monkeypox and Marburg Vaccine Candidates,0.3182,ONCO,48.0,52.0,46.95999908,50.0,20538,0,0.0,1
2023-01-17,Blue Water Vaccines Announces Appointment of Seasoned Public Market and Private Equity Investment Leader Timothy Ramdeen to Board of Directors,0.0,ONCO,48.79999924,50.0,46.40000153,47.20000076,5728,0,0.0,0
2023-01-09,Blue Water Vaccines to Present at Biotech Showcase 2023 During the 41st Annual J.P. Morgan Healthcare Conference Week in San Francisco,0.0,ONCO,46.40000153,48.0,45.59999847,45.79999924,3598,0,0.0,0
2022-12-12,"Blue Water Vaccines Announces Institutional Research Coverage by Two Notable Healthcare-Focused Wall Street Banks, Receives Buy Rating From Both",0.0,ONCO,49.59999847,53.59999847,48.52000046,52.0,11305,0,0.0,0
2022-12-06,Blue Water Vaccines Organizes Key Opinion Leader Event to Discuss Unmet Need for Acute Otitis Media and Pneumonia Vaccine and Its Streptococcus pneumoniae Vaccine Candidate,0.0,ONCO,52.79999924,52.79999924,44.59999847,46.40000153,8030,0,0.0,1
2022-12-01,"Blue Water Vaccines to Present Update on Novel, Live Attenuated, Intranasally Delivered Streptococcus pneumoniae Vaccine to Prevent Acute Otitis Media, Pneumococcal Pneumonia, and Invasive Pneumococcal Disease at the World Vaccine & Immunotherapy Congress West Coast 2022",0.34,ONCO,50.79999924,53.59999847,50.0,51.0,12798,0,0.0,0
2022-11-22,Fred Smith Co. turns quick $24M deal for Chatham quarry,0.0,ONCO,48.40000153,52.79999924,46.0,49.20000076,19960,0,0.0,0
2022-11-21,Blue Water Vaccines Shares Jump After Licensing Pact For Chlamydia Vaccine Candidate,0.296,ONCO,50.0,57.20000076,48.0,51.20000076,142278,0,0.0,1
2022-11-10,Blue Water Vaccines Reports Third Quarter 2022 Financial Results and Recent Business Highlights; Announces 5 Million Share Repurchase Program,0.296,ONCO,48.40000153,48.40000153,38.43999863,42.79999924,157328,0,0.0,1
2022-11-08,"Blue Water Vaccines Announces Appointment of Vuk Jeremi, Previous Chair of the Council of Europes Committee of Ministers and Previous President of the United Nations General Assembly, to Its Board of Directors",0.4215,ONCO,44.40000153,46.0,42.0,42.40000153,5910,0,0.0,0
2022-10-11,Blue Water Vaccines Announces Plans to Evaluate Efficacy of Streptococcus pneumoniae Vaccine Candidate Against Pneumococcal Pneumonia at the World Vaccine Congress in Barcelona,0.0,ONCO,67.19999695,72.40000153,60.79999924,63.59999847,54253,0,0.0,1
2022-09-21,Blue Water Vaccines to Present at World Vaccine Congress Europe 2022,0.0,ONCO,84.40000153,87.19999695,80.0,80.0,9045,0,0.0,1
2022-09-08,"Blue Water Vaccines to Present In Person and via Webcast at H.C. Wainwrights 24th Annual Global Investment Conference in New York, NY",0.0,ONCO,113.5999985,115.5599976,109.1999969,112.0,7503,0,0.0,0
2022-08-31,"Blue Water Vaccines to Present at H.C. Wainwrights 24th Annual Global Investment Conference in New York, NY",0.0,ONCO,121.1999969,130.0,119.1999969,126.0,29970,0,0.0,0
2022-08-24,"Blue Water Vaccines to Present at The Universal Influenza Vaccines 2022 Conference in Oxford, United Kingdom",0.4215,ONCO,129.6000061,140.8399963,125.5999985,130.0,31828,0,0.0,0
2022-08-22,Blue Water Vaccines Announces Appointment of Retired Deloitte Consulting Senior Managing Director Simon Tarsh to Board of Directors,0.0,ONCO,166.8000031,172.0,138.0,139.1999969,90510,0,0.0,1
2022-08-18,Blue Water Vaccines stock sinks after U.S. announces its own monkeypox vaccine plans,0.0,ONCO,205.6000061,251.1999969,165.1999969,171.3999939,573793,0,0.0,1
2022-08-17,"U.S. stocks end lower as investors weigh Fed minutes, retail sales",-0.296,ONCO,140.0,320.0,139.6000061,305.6000061,3851853,0,0.0,1
2022-08-16,7 Short-Squeeze Stocks to Put on Your Must-Watch List,0.0,ONCO,97.59999847,105.5999985,94.80000305,102.0,23960,0,0.0,1
2022-08-15,Blue Water Vaccines Reports Second Quarter 2022 Financial Results and Recent Business Highlights,0.0,ONCO,95.19999695,101.1999969,92.40000153,97.59999847,22498,0,0.0,0
2022-08-11,Blue Water Vaccines Announces Closing of $10 Million Private Placement Priced At-the-Market Under Nasdaq Rules,0.0,ONCO,98.80000305,103.1999969,95.19999695,96.0,8495,0,0.0,0
2022-08-09,Blue Water Vaccines Announces $10 Million Private Placement Priced At-the-Market under Nasdaq Rules,0.0,ONCO,97.59999847,100.8000031,94.40000153,99.59999847,9135,0,0.0,1
2022-07-20,Blue Water Vaccines Announces Signing of Sponsored Research Agreement with Cincinnati Childrens Hospital Medical Center for S&P Vaccine Platform Development,0.4939,ONCO,76.80000305,94.80000305,76.0,84.40000153,41913,0,0.0,1
2022-06-06,Blue Water Vaccines to Present at the JMP Securities Life Science Conference,0.296,ONCO,154.3999939,157.6000061,143.1999969,146.0,8540,0,0.0,1
2022-05-31,Blue Water Vaccines Announces Sponsored Research Agreement Amendment to Continue Funding Universal Influenza Vaccine Development at The University of Oxford,0.4939,ONCO,171.6000061,183.1999969,164.8000031,176.3999939,22783,0,0.0,1
2022-05-19,"Blue Water Vaccines Announces Collaboration with Instituto Butantan for the Development of BWV-101, a Universal Influenza Vaccine Candidate",0.0,ONCO,184.8000031,203.6000061,172.3999939,174.0,67785,0,0.0,1
2022-05-13,Blue Water Vaccines Reports First Quarter 2022 Financial Results and Recent Business Developments,0.0,ONCO,263.2000122,292.0,220.8000031,226.3999939,166563,0,0.0,1
2022-05-12,Blue Water Vaccines Inc. to Present at H.C. Wainwright Global Investment Conference,0.0,ONCO,256.7999878,286.0,235.0,268.3999939,517558,0,0.0,0
2022-05-11,Blue Water Vaccines Announces Expanded License Agreement with St. Jude Childrens Research Hospital for Novel Bacterial Vaccine Platform,0.6705,ONCO,208.8000031,273.6000061,206.0,240.3999939,646753,0,0.0,0
2022-04-27,"Tenon Medical, Ostin Technology Shares Rocket in Market Debuts",0.296,ONCO,168.0,183.6000061,160.0,162.3999939,31218,0,0.0,0
2022-04-21,"Blue Water Vaccines Presents New Data Supporting Universal Influenza Vaccine Candidate at the World Vaccine Congress 2022 in Washington, DC",0.4404,ONCO,224.8000031,234.8000031,190.3999939,202.0,34433,0,0.0,0
2022-04-20,Blue Water Vaccines Announces Closing of $8 Million Private Placement Priced At-the-Market Under Nasdaq Rules,0.0,ONCO,241.1999969,248.0,225.6000061,228.0,19595,0,0.0,1
2022-04-13,Blue Water Vaccines Announces $8 Million Private Placement Priced At-the-Market Under Nasdaq Rules,0.0,ONCO,276.0,286.0,240.8000031,247.1999969,35735,0,0.0,1
2022-04-11,Blue Water Vaccines Inc to Present at World Vaccine Congress Washington 2022,0.0,ONCO,384.0,391.6000061,320.3999939,322.0,47908,0,0.0,1
2022-04-08,"BioMed Leaders: Sunshine Biopharma, PharmaDrug, Blue Water Vaccines, and MedAvail; Visionary CEOs Advancing Healthcare, with Vaccines, Cancer Therapeutics, and Affordable Pharmaceuticals",0.296,ONCO,507.2000122,565.5999756,426.1199951,434.0,267898,0,0.0,1
2022-04-01,IPOs Had a Dismal Quarter. The Silent Spell Could Be Ending.,-0.6124,ONCO,2149.600098,2476.800049,2149.600098,2476.800049,405,0,0.0,1
2022-03-22,Blue Water Vaccines Announces Publication in Nano Research Supporting Novel S&P Vaccine Platform Versatility,0.6369,ONCO,1574.0,1858.800049,1520.0,1858.800049,643,0,0.0,1
2022-02-23,Blue Water Vaccines Announces Closing of Initial Public Offering,0.0,ONCO,1895.599976,2072.0,1302.0,1992.0,1478,0,0.0,1
2024-09-11,CNEY Receives Nasdaq Notifications Regarding Minimum Market Value of Publicly Held Shares Requirement,0.5574,CNEY,0.689999998,1.600000024,0.689999998,1.389999986,347476100,0,0.0,0
2024-06-03,CNEY Receives Nasdaq Notification Regarding Minimum Bid Price Deficiency,0.0,CNEY,0.529999971,0.540000021,0.514999986,0.528999984,46700,0,0.0,0
2024-04-04,CN Energy Group. Inc. to Present at The Aegis Capital Corp 2024 Virtual Conference,0.2732,CNEY,1.139999986,1.269999981,1.139999986,1.230000019,69800,0,0.0,0
2024-04-02,"Steven Berman, CN Energy Group, is Featured in an Interview with SmallCapsDaily",0.2732,CNEY,1.090000033,1.220000029,1.049999952,1.159999967,174800,0,0.0,0
2024-03-15,CN Energy Group Receives Re-order from Water Purification Customer for its Activated Carbon,0.2732,CNEY,1.120000005,1.230000019,1.120000005,1.149999976,26800,0,0.0,0
2024-02-26,CN Energy Group Provides Preliminary Unaudited Financial Information for the First Three Months of Fiscal Year 2024 and Announces an Operations Update,0.2732,CNEY,1.429999948,1.539999962,1.429999948,1.440000057,133700,0,0.0,0
2024-02-21,Why Is CN Energy (CNEY) Stock Up 46% Today?,0.2732,CNEY,1.529999971,1.779999971,1.360000014,1.600000024,16234200,0,0.0,0
2024-02-16,CN Energy Group. Inc. Appoints Steven Berman as the Chief Executive Officer,0.2732,CNEY,1.399999976,1.5,1.320000052,1.401000023,326500,0,0.0,0
2024-02-15,CNEY Released Its Audited Financial Results for Fiscal Year 2023,0.0,CNEY,1.269999981,1.549999952,1.269999981,1.549999952,554300,0,0.0,0
2024-02-12,"CNEY Will Host a Conference Call on February 16, 2024",0.0,CNEY,1.340000033,1.370000005,1.210000038,1.245000005,161000,0,0.0,0
2024-02-02,CNEY Regains Compliance with Nasdaq Minimum Bid Price Requirement,0.0,CNEY,1.5,1.559999943,1.350000024,1.409999967,136700,0,0.0,0
2024-01-05,CN Energy Group. Inc. Announces Nasdaq Delisting Notification and Intends to Appeal,0.2732,CNEY,1.799999952,1.860000014,1.679999948,1.710000038,141693,0,0.0,0
2023-09-07,CN Energy Group Secures Activated Carbon Order for $1.64 Million,0.5267,CNEY,4.46999979,4.710000038,3.75,3.809999943,104400,0,0.0,0
2023-08-28,CN Energy Group. Inc. Files Financial Results for the First Six Months of Fiscal Year 2023,0.2732,CNEY,5.670000076,5.699999809,4.380000114,4.769999981,71240,0,0.0,0
2023-08-02,The 3 Best $1 Stocks to Buy Now: August 2023,0.6369,CNEY,5.760000229,5.849999905,5.460000038,5.760000229,25000,0,0.0,0
2023-07-24,CNEY Receives NASDAQ Minimum Bid Price Requirement Extension,0.0,CNEY,5.309999943,5.610000134,5.309999943,5.369999886,7357,0,0.0,0
2023-05-17,CNEY Awarded License Renewal to Process and Sell Wood Products; Expects to Enhance Operating Efficiencies,0.6486,CNEY,6.420000076,6.929999828,5.880000114,6.71999979,60363,0,0.0,0
2023-04-25,15 Cheap Growth Stocks to Buy,0.3818,CNEY,6.480000019,6.480000019,6.059999943,6.300000191,14253,0,0.0,0
2023-03-20,CNEY Wins a Large Activated Carbon Order,0.5719,CNEY,6.300000191,6.300000191,6.0,6.059999943,21387,0,0.0,0
2023-02-01,Aegis Capital Corp. Acted as Sole Bookrunner on a $10 Million Underwritten Public Offering for CN Energy Group Inc. (NASDAQ:CNEY),0.2732,CNEY,14.69999981,15.23999977,14.22000027,14.39999962,125477,0,0.0,0
2023-01-30,CNEY Announces Pricing of $10 Million Underwritten Public Offering,0.0,CNEY,18.29999924,20.34000015,16.5,17.67000008,542217,0,0.0,1
2023-01-27,CNEY Announces Proposed Underwritten Public Offering of Securities,0.296,CNEY,49.20000076,65.09999847,49.20000076,65.09999847,75113,0,0.0,0
2023-01-23,CN Energy Establishes its U.S. Headquarters to Expand Its Biochar and Wood-based Activated Carbon Businesses in Global Markets,0.5267,CNEY,27.62999916,36.90000153,27.60000038,36.59999847,36000,0,0.0,1
2023-01-17,CNEY Receives Nasdaq Notification Regarding Minimum Bid Price Deficiency,0.0,CNEY,30.0,31.20000076,21.69000053,26.06999969,21400,0,0.0,1
2022-11-25,CN Energy Group. Inc. has Upgraded its 6G Gasification Reactors,0.2732,CNEY,49.79999924,52.79999924,41.40000153,49.20000076,46007,0,0.0,1
2022-11-14,CN Energy Group. Inc. Has Obtained the Permit to Directly Sell to Drinkable Water Markets,0.2732,CNEY,56.09999847,60.59999847,56.09999847,59.70000076,4643,0,0.0,0
2022-10-05,Are CN Energy Group. Inc.'s (NASDAQ:CNEY) Mixed Financials The Reason For Its Gloomy Performance on The Stock Market?,0.128,CNEY,62.84999847,65.55000305,57.59999847,63.59999847,1517,0,0.0,1
2022-08-25,Consumers Dont Have the Money to Spend: 10 Chinese Stocks at Risk as Orders Drop,-0.4939,CNEY,64.5,64.5,61.5,62.81999969,620,0,0.0,1
2022-06-28,The past one-year earnings decline for CN Energy Group (NASDAQ:CNEY) likely explains shareholders long-term losses,-0.1531,CNEY,68.09999847,68.09999847,59.09999847,67.19999695,590,0,0.0,0
2022-05-06,Returns On Capital Signal Tricky Times Ahead For CN Energy Group (NASDAQ:CNEY),0.128,CNEY,40.65000153,41.61000061,39.0,39.90000153,1010,0,0.0,1
2022-02-10,CN Energy Named High-Technology Enterprise,0.2732,CNEY,58.5,63.0,56.70000076,57.59999847,937,0,0.0,0
2022-01-31,CN Energy's Subsidiary Completes New Manufacturing Facility,0.0,CNEY,52.5,57.59999847,52.5,57.59999847,960,0,0.0,1
2022-01-24,CN Energy and Xujin Environmental Protection Enter Strategic Cooperation,0.2732,CNEY,54.90000153,54.90000153,46.74000168,50.09999847,2447,0,0.0,0
2022-01-18,CN Energy Signs Operation & Management Agreement; Enters Multi-Billion Dollar Pharmaceutical Excipients Market,0.6486,CNEY,63.90000153,67.19999695,60.59999847,67.19999695,14677,0,0.0,0
2024-09-23,Tonix Pharmaceuticals Announces Data Presentations on TNX-102 SL for Fibromyalgia at the 11th Global Conference on Pharmaceutics and Novel Drug Delivery Systems (PDDS 2024),0.3182,TNXP,0.140000001,0.140000001,0.129999995,0.129999995,17367000,0,0.0,0
2024-09-19,Tonix Pharmaceuticals Announces Issuance of U.S. Patent by the United States Patent and Trademark Office Covering the Intranasal Delivery of FDA-Approved Tosymra to Treat Migraines,0.6705,TNXP,0.159999996,0.170000002,0.150000006,0.150000006,28045800,0,0.0,0
2024-09-18,"New Hope for Mpox? How TNX-801 Could Meet the WHO's Vaccine Targets for a Safer, Single-Dose Solution",0.7906,TNXP,0.150000006,0.150000006,0.140000001,0.150000006,9080000,0,0.0,0
